epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,3024.44,0.30564,0.52967,0.22785,0.82382,0,0.99165,0.98853,0.9912,0.95883,0.99165,0.98853,0.9912,0.90193,0.31854,0.57844,0.21883,0.80894,0,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067
76,3068.37,0.30357,0.50022,0.21959,0.8153,0,0.97846,0.9869,0.99074,0.95971,0.97846,0.9869,0.99074,0.89598,0.3198,0.58154,0.21544,0.81009,0,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068
77,3111.1,0.30686,0.52842,0.22561,0.80576,0,0.97356,0.98258,0.99071,0.9586,0.97356,0.98258,0.99071,0.89889,0.32334,0.58034,0.21035,0.80956,0,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068
78,3153.35,0.2871,0.49831,0.21039,0.79647,0,0.9757,0.9821,0.99052,0.95737,0.9757,0.9821,0.99052,0.89714,0.31971,0.59006,0.21154,0.81028,0,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069
79,3212.65,0.2985,0.50251,0.21387,0.80701,0,0.98474,0.98115,0.99118,0.95842,0.98474,0.98115,0.99118,0.90173,0.32075,0.58751,0.20418,0.80918,0,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707
80,3267.96,0.28757,0.50722,0.20757,0.80634,0,0.9898,0.98872,0.99125,0.9583,0.9898,0.98872,0.99125,0.90376,0.32174,0.58799,0.20595,0.8092,0,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071
81,3309.07,0.29279,0.52,0.21261,0.80623,0,0.99025,0.9897,0.99118,0.95703,0.99025,0.9897,0.99118,0.90458,0.32087,0.59,0.20756,0.809,0,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
82,3347.72,0.28709,0.50622,0.20837,0.81761,0,0.99022,0.98833,0.99122,0.9558,0.99022,0.98833,0.99122,0.90492,0.31798,0.58209,0.20863,0.80979,0,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073
83,3389.53,0.29469,0.54258,0.21785,0.80423,0,0.9812,0.98899,0.99109,0.95192,0.97629,0.98258,0.99047,0.90105,0.32079,0.58271,0.20702,0.81108,0,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074
84,3430.89,0.27583,0.50493,0.20513,0.80309,0,0.98152,0.98713,0.99109,0.95126,0.97718,0.98258,0.99041,0.89825,0.32557,0.57789,0.20719,0.81053,0,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075
85,3474.77,0.29236,0.51937,0.21457,0.80406,0,0.9907,0.98731,0.99116,0.95261,0.98648,0.98258,0.99052,0.9011,0.32589,0.57323,0.20217,0.80921,0,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076
86,3516.78,0.27834,0.48033,0.20457,0.7983,0,0.97714,0.99062,0.99114,0.95457,0.97869,0.98258,0.99046,0.90123,0.3292,0.58428,0.2021,0.81027,0,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077
87,3558.76,0.27576,0.49755,0.20224,0.80394,0,0.99075,0.98672,0.99006,0.95438,0.98665,0.98258,0.98916,0.90143,0.32829,0.58744,0.20654,0.8105,0,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077
88,3583.6,0.27517,0.50368,0.19809,0.79837,0,0.99075,0.98706,0.99087,0.95711,0.99075,0.98706,0.99087,0.90264,0.32426,0.58407,0.2021,0.80901,0,0.000378235,0.000126078,0.000378235,0.000126078,0.000378235,0.000126078,0.000378235,0.000126078
89,3608.34,0.2736,0.50794,0.20277,0.80628,0,0.98643,0.99092,0.99122,0.95607,0.98643,0.99092,0.99122,0.90219,0.32462,0.58469,0.20086,0.80833,0,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079
